pid,lot_frontage,lot_area,lot_config,neighborhood,overall_qu,overall_cond,year_blt,exterior_1st,mas_vnr_type,exter_qu,foundation,bsmt_qu,bsmt_exposure,bsmt_unf_sf,total_bsmt_sf,heating_qu,2nd_flr_sf,gr_liv_area,full_bath,half_bath,bedroom_abvgr,kitchen_qu,fireplaces,fireplace_qu,garage_area,wood_deck_sf,mo_sold,year_sold,saleprice
527302110,85.0,13175,Inside,NWAmes,6,6,1978,Plywood,Stone,1,CBlock,4,1,589.0,1542.0,2,0,2073,2,0,3,2,2,3,500.0,349,2,2010,210000
527358140,105.0,11751,Inside,NWAmes,6,6,1977,Plywood,BrkFace,1,CBlock,4,1,1139.0,1844.0,4,0,1844,2,0,3,2,1,3,546.0,0,1,2010,190000
527358200,85.0,10625,Inside,NWAmes,7,6,1974,Plywood,BrkFace,1,CBlock,4,4,0.0,1053.0,2,0,1173,2,0,3,3,2,3,528.0,0,1,2010,170000
527368020,,7500,Inside,Somerst,7,5,2000,VinylSd,NONE,2,PConc,4,1,281.0,814.0,4,860,1674,2,1,3,3,0,0,663.0,0,1,2010,216000
527402200,,11241,CulDSac,NAmes,6,7,1970,Wd Sdng,BrkFace,1,CBlock,3,1,426.0,1004.0,4,0,1004,1,0,2,2,1,3,480.0,0,3,2010,149000
527402250,,12537,CulDSac,NAmes,5,6,1971,VinylSd,NONE,1,CBlock,3,1,344.0,1078.0,4,0,1078,1,1,3,2,1,2,500.0,0,4,2010,149900
527403020,65.0,8450,Inside,NAmes,5,6,1968,VinylSd,NONE,1,CBlock,3,1,281.0,1056.0,4,0,1056,1,0,3,2,1,2,304.0,0,7,2010,142000
527404120,70.0,8400,Corner,NAmes,4,5,1970,Plywood,NONE,1,CBlock,3,1,0.0,882.0,2,0,882,1,0,2,2,0,0,525.0,240,4,2010,126000
527425090,70.0,10500,FR2,NAmes,4,5,1971,HdBoard,NONE,1,CBlock,3,1,432.0,864.0,2,0,864,1,0,3,2,1,1,0.0,0,4,2010,115000
527427230,26.0,5858,FR2,NAmes,7,5,1999,MetalSd,NONE,2,PConc,4,1,354.0,1405.0,4,0,1337,2,0,2,3,1,2,511.0,203,6,2010,184000
527451180,21.0,1680,Inside,BrDale,6,5,1971,HdBoard,BrkFace,1,CBlock,3,1,327.0,483.0,2,504,987,1,1,2,2,0,0,264.0,275,2,2010,96000
527451330,21.0,1680,Inside,BrDale,5,5,1971,HdBoard,BrkFace,1,CBlock,3,1,225.0,525.0,2,567,1092,1,1,3,2,0,0,320.0,0,3,2010,105500
527451410,21.0,1680,Inside,BrDale,6,5,1971,HdBoard,BrkFace,1,CBlock,3,1,525.0,525.0,2,567,1092,1,1,3,2,0,0,264.0,0,3,2010,88000
527452190,53.0,4043,Inside,NPkVill,6,5,1977,Plywood,NONE,1,CBlock,4,1,709.0,1069.0,2,0,1069,2,0,2,2,1,2,440.0,0,7,2010,127500
527453130,24.0,2280,FR2,NPkVill,6,6,1975,Plywood,NONE,1,CBlock,3,1,341.0,855.0,2,601,1456,2,1,3,3,1,3,440.0,173,6,2010,149900
527453150,24.0,2280,FR2,NPkVill,7,6,1975,Plywood,NONE,1,CBlock,4,1,836.0,836.0,4,0,836,1,0,2,2,0,0,308.0,0,6,2010,120000
527454200,24.0,2280,Inside,NPkVill,6,5,1978,Plywood,NONE,1,CBlock,4,1,544.0,855.0,1,601,1456,2,1,3,2,1,3,440.0,26,7,2010,146000
528108120,102.0,12858,Inside,NridgHt,9,5,2009,VinylSd,Stone,3,PConc,5,1,1590.0,1590.0,4,707,2334,2,1,3,4,1,4,751.0,144,1,2010,376162
528112020,98.0,11478,Inside,NridgHt,8,5,2007,VinylSd,Stone,2,PConc,5,1,486.0,1704.0,4,0,1704,2,0,3,3,1,4,772.0,0,5,2010,306000
528120060,83.0,10159,Inside,NridgHt,9,5,2009,VinylSd,Stone,3,PConc,5,3,284.0,1930.0,4,0,1940,2,1,3,4,1,4,606.0,168,4,2010,395192
528120090,94.0,12883,Corner,NridgHt,8,5,2009,VinylSd,Stone,2,PConc,4,1,1544.0,1544.0,4,0,1544,2,0,3,3,0,0,868.0,0,6,2010,290941
528120100,95.0,12182,Corner,NridgHt,7,5,2005,VinylSd,BrkFace,2,PConc,4,2,340.0,1541.0,4,0,1541,2,0,3,3,1,4,532.0,0,5,2010,220000
528120120,90.0,11520,Inside,NridgHt,9,5,2005,VinylSd,BrkFace,2,PConc,5,1,1588.0,1698.0,4,0,1698,2,0,3,4,1,4,730.0,192,6,2010,275000
528138020,79.0,14122,Inside,NridgHt,8,5,2005,CemntBd,BrkFace,2,PConc,5,1,1794.0,1822.0,4,0,1822,2,0,3,4,1,4,678.0,0,2,2010,259000
528138060,70.0,10171,Inside,NridgHt,7,5,2004,VinylSd,BrkFace,2,PConc,4,1,1515.0,1517.0,4,0,1535,2,0,3,3,0,0,532.0,0,3,2010,214000
528150070,100.0,12919,Inside,NridgHt,9,5,2009,VinylSd,Stone,3,PConc,5,4,142.0,2330.0,4,0,2364,2,1,2,4,2,4,820.0,0,3,2010,611657
528175010,44.0,6371,Inside,NridgHt,7,5,2009,VinylSd,Stone,2,PConc,4,2,625.0,1358.0,4,0,1358,2,0,2,3,1,4,484.0,192,6,2010,224000
528176010,110.0,14300,Inside,NridgHt,9,5,2003,VinylSd,BrkFace,3,PConc,5,4,1473.0,2846.0,4,0,2696,2,1,3,4,2,4,958.0,220,6,2010,500000
528176070,105.0,13650,Corner,NridgHt,8,5,2002,VinylSd,BrkFace,2,PConc,4,4,1093.0,1671.0,4,563,2250,2,1,3,3,1,5,756.0,238,6,2010,320000
528180070,61.0,7658,Inside,NridgHt,9,5,2005,MetalSd,BrkFace,3,PConc,5,1,1296.0,1752.0,4,0,1752,2,0,2,4,1,4,576.0,196,2,2010,319900
528181050,41.0,7132,Inside,NridgHt,8,5,2006,VinylSd,Stone,2,PConc,4,2,1346.0,1370.0,4,0,1370,2,0,2,3,1,4,484.0,120,4,2010,205000
528188120,36.0,2628,Inside,NridgHt,7,5,2003,VinylSd,Stone,2,PConc,4,1,764.0,764.0,4,862,1626,2,1,2,3,0,0,474.0,0,6,2010,175500
528218150,100.0,18494,Corner,Gilbert,6,5,2005,VinylSd,NONE,2,PConc,4,1,1324.0,1324.0,4,0,1324,2,0,3,3,0,0,430.0,36,1,2010,199500
528228285,43.0,3203,Inside,Blmngtn,7,5,2006,VinylSd,BrkFace,2,PConc,4,3,1129.0,1145.0,4,0,1145,2,0,2,3,0,0,437.0,100,1,2010,160000
528228440,43.0,3182,Inside,Blmngtn,8,5,2004,VinylSd,BrkFace,2,PConc,4,1,1232.0,1256.0,4,0,1269,2,0,2,3,1,3,430.0,146,4,2010,192000
528231020,67.0,13300,Inside,Gilbert,7,5,2004,VinylSd,NONE,2,PConc,4,1,58.0,384.0,4,630,1374,2,1,3,3,1,4,400.0,100,6,2010,184500
528240070,,7851,Inside,Gilbert,6,5,2002,VinylSd,NONE,2,PConc,4,1,235.0,860.0,4,1100,1960,2,1,4,3,2,3,440.0,288,5,2010,216500
528240130,63.0,8577,Inside,Gilbert,7,5,2004,VinylSd,NONE,2,PConc,4,1,847.0,847.0,4,886,1733,2,1,3,3,1,4,433.0,144,4,2010,185088
528250100,,7750,Inside,Gilbert,7,5,2000,VinylSd,NONE,1,PConc,4,1,134.0,384.0,4,656,1430,2,1,3,2,1,3,400.0,180,4,2010,180000
528292020,,9505,CulDSac,Gilbert,7,5,2001,VinylSd,BrkFace,2,PConc,4,1,884.0,884.0,4,1151,2035,2,1,3,3,1,4,434.0,144,5,2010,222500
528328100,108.0,14774,Corner,NoRidge,9,5,1999,VinylSd,BrkFace,2,PConc,4,1,1393.0,1393.0,4,1177,2599,2,1,4,3,1,3,779.0,668,5,2010,333168
528344070,60.0,17433,CulDSac,NoRidge,8,5,1998,VinylSd,BrkFace,2,PConc,5,1,1629.0,1629.0,4,830,2475,2,1,4,3,1,3,962.0,23,1,2010,355000
528358010,59.0,10593,Inside,NoRidge,7,5,1996,VinylSd,BrkFace,2,PConc,4,1,801.0,1720.0,4,0,1720,2,0,3,3,1,3,527.0,240,3,2010,260400
528363130,98.0,12256,Corner,NoRidge,8,5,1994,HdBoard,BrkFace,2,PConc,5,3,431.0,1463.0,4,1122,2622,2,1,3,3,2,3,712.0,186,4,2010,325000
528382020,92.0,11764,CulDSac,NoRidge,8,7,1999,VinylSd,BrkFace,2,PConc,4,1,628.0,1152.0,4,1106,2270,2,1,4,3,1,4,671.0,132,4,2010,290000
528382030,58.0,16770,CulDSac,NoRidge,7,5,1998,VinylSd,BrkFace,2,PConc,4,1,1195.0,1195.0,3,644,1839,2,1,4,2,0,0,486.0,0,6,2010,221000
528386040,56.0,14720,CulDSac,NoRidge,8,5,1995,VinylSd,BrkFace,2,PConc,4,3,1217.0,2033.0,4,1185,3238,2,1,4,3,1,5,666.0,283,3,2010,410000
528445060,73.0,8987,Inside,Somerst,8,5,2005,VinylSd,BrkFace,2,PConc,4,0,1595.0,1595.0,4,0,1595,2,0,2,3,1,4,880.0,144,5,2010,221500
528456160,92.0,9215,Inside,Somerst,7,5,2009,VinylSd,NONE,2,PConc,4,1,1218.0,1218.0,4,0,1218,2,0,2,3,0,0,676.0,0,4,2010,204500
528458070,72.0,8640,Inside,Somerst,7,5,2009,VinylSd,NONE,1,PConc,4,2,732.0,756.0,4,783,1547,2,1,3,3,0,0,614.0,169,6,2010,215200
528458110,75.0,9000,Inside,Somerst,8,5,2008,VinylSd,Stone,2,PConc,4,3,488.0,1566.0,4,0,1566,2,0,3,3,0,0,750.0,144,4,2010,262500
528477080,100.0,12552,Corner,Somerst,7,5,2004,VinylSd,NONE,2,PConc,4,1,769.0,991.0,4,956,1947,2,1,3,3,1,4,678.0,0,5,2010,254900
528480090,84.0,10440,Corner,Somerst,6,5,2005,VinylSd,NONE,2,PConc,5,1,54.0,1468.0,4,0,1468,2,0,2,3,1,4,528.0,0,5,2010,271500
531367050,76.0,10142,Inside,SawyerW,7,5,2004,VinylSd,NONE,2,PConc,4,1,300.0,956.0,4,1128,2084,2,1,4,3,0,0,618.0,0,1,2010,233000
531369060,70.0,11920,Inside,SawyerW,7,5,2004,VinylSd,BrkFace,2,PConc,4,3,831.0,831.0,4,828,1659,2,1,3,3,0,0,484.0,144,4,2010,181000
531380080,,8880,Inside,SawyerW,7,5,1994,VinylSd,NONE,2,PConc,4,1,253.0,948.0,4,888,2110,2,1,3,3,2,2,463.0,0,5,2010,205000
531451110,50.0,8012,Inside,SawyerW,6,5,1980,Plywood,NONE,1,CBlock,4,1,261.0,923.0,2,0,923,2,0,2,2,1,3,264.0,80,5,2010,143000
531451280,70.0,11218,Inside,SawyerW,6,5,1992,Wd Sdng,NONE,2,PConc,4,1,1055.0,1055.0,4,790,1845,2,1,3,3,1,3,462.0,635,5,2010,189000
531452020,55.0,7892,Inside,SawyerW,6,5,1979,Plywood,NONE,1,CBlock,4,1,918.0,918.0,2,0,918,2,0,2,2,1,3,264.0,28,4,2010,99500
531452050,50.0,7175,Inside,SawyerW,6,5,1984,Plywood,NONE,1,CBlock,4,1,0.0,744.0,2,0,752,1,0,2,2,0,0,264.0,353,2,2010,125000
531452180,,9453,CulDSac,SawyerW,7,7,1993,HdBoard,NONE,2,PConc,4,1,594.0,996.0,4,730,1744,2,1,3,3,0,0,457.0,370,2,2010,194500
531453010,81.0,9672,Corner,SawyerW,6,5,1984,HdBoard,NONE,1,PConc,4,1,702.0,1040.0,2,0,1097,2,0,3,2,0,0,480.0,0,5,2010,152000
531453040,70.0,8400,Inside,SawyerW,6,6,1980,HdBoard,BrkFace,1,CBlock,4,1,650.0,650.0,2,676,1564,2,1,3,2,1,3,476.0,0,4,2010,171000
531477050,70.0,9800,Corner,SawyerW,5,5,1920,Wd Sdng,NONE,1,BrkTil,3,1,816.0,816.0,2,0,1012,1,0,2,2,0,0,429.0,121,4,2010,67500
532351140,68.0,8930,Inside,Sawyer,6,5,1978,VinylSd,NONE,1,Slab,0,0,0.0,0.0,2,584,1902,2,0,4,2,0,0,539.0,0,4,2010,112000
532354090,88.0,11782,Inside,Sawyer,5,7,1961,HdBoard,NONE,1,CBlock,3,3,210.0,1109.0,2,0,1155,1,0,3,3,0,0,576.0,192,6,2010,148000
532376160,65.0,8450,Inside,Sawyer,5,8,1965,MetalSd,NONE,1,CBlock,3,1,224.0,894.0,4,0,894,1,0,3,2,1,4,336.0,416,4,2010,138500
532377060,,9819,Inside,Sawyer,5,5,1967,MetalSd,BrkFace,1,CBlock,3,1,432.0,882.0,2,0,900,1,0,3,2,0,0,280.0,0,2,2010,122000
532377100,75.0,7500,Corner,Sawyer,5,5,1963,HdBoard,NONE,1,CBlock,3,1,216.0,1040.0,1,0,1040,1,1,3,2,0,0,308.0,0,6,2010,133000
532378110,,6897,Corner,Sawyer,5,8,1962,HdBoard,NONE,1,CBlock,3,1,381.0,1040.0,4,0,1040,1,1,3,2,0,0,260.0,0,4,2010,127000
532479070,39.0,15410,CulDSac,Sawyer,6,6,1974,Plywood,BrkCmn,1,CBlock,3,4,223.0,1208.0,4,0,1494,2,0,3,2,2,2,461.0,296,4,2010,169000
533130020,107.0,10186,Inside,NoRidge,7,5,1992,HdBoard,NONE,2,PConc,4,1,76.0,750.0,4,862,1923,2,1,3,3,1,3,564.0,240,6,2010,190000
533130130,85.0,13143,Inside,NoRidge,8,5,1993,HdBoard,BrkFace,2,PConc,4,1,0.0,1231.0,4,1098,2349,2,1,4,3,1,3,762.0,32,6,2010,362500
533130160,88.0,11134,Inside,NoRidge,8,5,1992,HdBoard,BrkFace,2,PConc,4,1,261.0,1390.0,4,823,2225,2,1,4,3,1,3,713.0,198,6,2010,285000
533205060,25.0,4835,CulDSac,Somerst,7,5,2004,MetalSd,NONE,2,PConc,5,3,190.0,1488.0,4,0,1488,2,0,2,3,1,4,506.0,168,3,2010,260000
533208090,39.0,3515,Inside,Somerst,7,5,2004,VinylSd,NONE,2,PConc,4,1,840.0,840.0,4,840,1680,2,1,2,3,0,0,588.0,0,1,2010,190000
533210060,30.0,3215,Inside,Somerst,7,5,2004,MetalSd,BrkFace,2,PConc,4,3,320.0,600.0,4,600,1200,2,1,2,3,0,0,480.0,0,4,2010,155000
533212010,30.0,3182,Inside,Somerst,7,5,2004,MetalSd,NONE,2,PConc,4,1,600.0,600.0,4,600,1200,2,1,2,3,0,0,480.0,0,6,2010,151000
533212020,24.0,2544,Inside,Somerst,7,5,2004,MetalSd,NONE,2,PConc,4,1,190.0,600.0,4,600,1200,2,1,2,3,0,0,480.0,0,2,2010,149500
533212060,24.0,2544,Inside,Somerst,6,5,2005,VinylSd,BrkFace,2,PConc,4,1,224.0,600.0,4,636,1236,2,1,2,3,0,0,480.0,0,5,2010,152000
533213030,,4403,Inside,Somerst,7,5,2009,MetalSd,Stone,3,PConc,5,3,892.0,1470.0,4,0,1478,2,1,2,3,1,4,484.0,0,6,2010,222000
533221090,,2117,Inside,Somerst,6,5,2000,MetalSd,BrkFace,2,PConc,4,1,378.0,756.0,4,804,1573,2,1,3,3,0,0,440.0,0,6,2010,177500
533221110,,2980,Corner,Somerst,6,5,2000,MetalSd,BrkFace,2,PConc,4,1,290.0,756.0,4,756,1512,2,1,2,3,0,0,440.0,0,5,2010,177000
533223020,24.0,2572,FR2,Somerst,7,5,1999,MetalSd,NONE,2,PConc,4,1,92.0,696.0,4,720,1416,2,1,3,3,0,0,484.0,0,5,2010,155000
533223100,,2403,FR2,Somerst,7,5,2003,VinylSd,NONE,2,PConc,4,1,286.0,530.0,4,550,1080,2,1,2,3,0,0,496.0,0,6,2010,147110
533238045,57.0,12853,Inside,Somerst,8,5,2010,CemntBd,NONE,2,PConc,5,1,610.0,1642.0,4,0,1418,1,1,1,3,1,4,852.0,160,4,2010,267916
533244030,68.0,7379,Inside,Somerst,8,5,2000,VinylSd,NONE,2,PConc,4,1,491.0,975.0,4,873,1848,2,1,3,3,1,3,592.0,280,4,2010,254000
533253060,30.0,4420,CulDSac,Greens,8,5,1980,Wd Sdng,NONE,2,CBlock,4,4,0.0,728.0,2,0,788,1,0,1,3,1,3,484.0,133,6,2010,155000
533253210,40.0,3880,Inside,Greens,8,6,1978,Wd Sdng,NONE,2,CBlock,4,4,174.0,1226.0,2,0,1226,1,0,1,3,1,3,484.0,223,1,2010,206000
533352170,,13517,CulDSac,Sawyer,6,8,1976,HdBoard,BrkFace,2,CBlock,3,1,192.0,725.0,4,754,1479,2,1,3,3,0,0,475.0,0,3,2010,130500
534102025,80.0,8000,Inside,Somerst,7,5,2002,VinylSd,NONE,2,PConc,4,1,659.0,1492.0,4,0,1492,2,0,3,3,1,4,596.0,277,4,2010,230000
534129040,,10456,Inside,NWAmes,6,6,1967,HdBoard,BrkFace,1,CBlock,3,1,1323.0,1829.0,3,0,1829,2,0,4,2,0,0,535.0,0,5,2010,218500
534151175,80.0,10791,Inside,NWAmes,6,5,1993,MetalSd,NONE,1,PConc,4,2,143.0,1280.0,4,1215,2495,2,1,4,3,1,3,660.0,224,3,2010,243500
534152050,,10603,Inside,NWAmes,6,7,1977,Plywood,BrkFace,1,PConc,3,2,410.0,1610.0,3,0,1610,2,0,3,3,2,3,480.0,168,2,2010,205000
534152070,,18837,Inside,NWAmes,6,5,1978,MetalSd,NONE,1,PConc,4,2,491.0,1224.0,2,604,1891,3,0,3,2,1,3,678.0,0,4,2010,212500
534152100,80.0,10421,Inside,NWAmes,7,5,1988,HdBoard,BrkFace,1,CBlock,4,1,586.0,980.0,2,734,1714,2,1,3,2,1,3,496.0,228,3,2010,196500
534176060,78.0,9360,Inside,NWAmes,6,7,1972,Plywood,NONE,1,CBlock,3,1,179.0,1161.0,2,0,1381,1,1,3,3,1,3,676.0,0,3,2010,197500
534176230,80.0,9600,Inside,NWAmes,6,6,1971,MetalSd,NONE,1,CBlock,3,1,386.0,715.0,2,715,1645,1,2,4,2,0,0,441.0,0,6,2010,171000
534202160,80.0,9600,Inside,NAmes,5,5,1966,VinylSd,BrkFace,1,CBlock,3,1,534.0,1232.0,2,0,1232,1,1,3,2,0,0,490.0,0,4,2010,142250
534251320,,9790,Inside,NWAmes,6,5,1963,HdBoard,BrkFace,1,CBlock,3,1,678.0,1328.0,2,0,1328,1,1,3,2,2,4,528.0,0,6,2010,143000
534276360,77.0,9320,Inside,NAmes,4,5,1959,Plywood,NONE,1,CBlock,3,1,381.0,950.0,1,0,1225,1,1,3,2,0,0,0.0,352,1,2010,128950
534401110,90.0,9900,Corner,NAmes,5,5,1966,HdBoard,NONE,1,PConc,4,1,150.0,1209.0,3,0,1209,1,0,3,2,0,0,504.0,0,4,2010,159000
534401140,88.0,9680,Inside,NAmes,5,6,1967,Wd Sdng,BrkFace,1,CBlock,3,1,500.0,1510.0,4,0,1510,2,0,3,3,0,0,517.0,0,4,2010,178900
534403360,,10600,Inside,NAmes,6,5,1964,HdBoard,NONE,1,CBlock,3,1,533.0,533.0,2,644,1775,2,0,3,2,0,0,480.0,0,5,2010,136300
534403410,,14112,Corner,NAmes,5,7,1964,Wd Sdng,BrkFace,1,PConc,3,3,138.0,1152.0,2,0,1152,1,0,3,2,1,4,484.0,227,4,2010,180500
534425310,80.0,8800,Inside,NAmes,6,7,1963,MetalSd,BrkFace,1,PConc,3,4,173.0,936.0,4,0,1054,1,0,3,3,0,0,480.0,120,5,2010,137500
534427010,98.0,13260,Inside,NAmes,5,6,1962,HdBoard,BrkFace,1,CBlock,3,1,228.0,1728.0,2,0,1728,2,0,6,2,0,0,0.0,0,1,2010,84900
534430080,68.0,9717,Inside,NAmes,5,6,1950,MetalSd,NONE,1,CBlock,3,2,0.0,1078.0,3,0,1078,1,0,2,3,0,0,240.0,366,4,2010,142125
534431050,68.0,9724,Inside,NAmes,5,7,1952,MetalSd,BrkFace,2,CBlock,3,1,470.0,1140.0,3,532,2461,2,0,3,2,2,4,400.0,0,3,2010,197600
534431070,120.0,17360,Corner,NAmes,6,6,1949,MetalSd,Stone,1,CBlock,3,1,482.0,782.0,2,537,1556,2,0,3,2,1,4,470.0,0,1,2010,172500
534450180,50.0,7207,Inside,BrkSide,5,7,1958,Wd Sdng,NONE,1,CBlock,3,4,162.0,858.0,3,0,858,1,0,2,2,0,0,0.0,117,2,2010,116500
534451150,55.0,5350,Inside,BrkSide,3,2,1940,Wd Sdng,NONE,1,CBlock,3,1,728.0,728.0,4,0,1306,1,0,3,1,0,0,0.0,263,5,2010,76500
534475100,80.0,9920,Inside,NAmes,5,5,1954,HdBoard,Stone,1,CBlock,3,1,412.0,1056.0,2,0,1063,1,0,3,2,0,0,280.0,0,2,2010,128000
534476260,80.0,9600,Inside,NAmes,6,6,1955,AsbShng,BrkFace,1,CBlock,3,3,350.0,1156.0,4,0,1520,1,0,3,2,2,4,364.0,0,3,2010,153000
534479320,78.0,7800,Inside,NAmes,5,6,1954,HdBoard,BrkFace,1,PConc,3,1,728.0,1268.0,3,0,1268,1,0,2,2,1,4,244.0,0,3,2010,132000
535101020,75.0,11380,Inside,NAmes,6,8,1966,HdBoard,BrkFace,1,CBlock,3,4,136.0,1080.0,3,0,1128,1,0,2,3,1,4,315.0,238,1,2010,178000
535106190,80.0,11600,Corner,NAmes,5,5,1960,MetalSd,BrkFace,1,CBlock,3,1,662.0,1105.0,2,1169,2274,2,0,5,2,0,0,480.0,0,1,2010,154300
535125010,,19900,Inside,NAmes,7,5,1970,Plywood,BrkFace,1,CBlock,4,4,1035.0,1947.0,2,0,2207,2,0,3,2,1,4,576.0,301,7,2010,180000
535126040,137.0,16492,Corner,NAmes,6,6,1966,BrkFace,NONE,2,CBlock,3,1,557.0,1517.0,4,0,1888,2,1,2,3,1,4,578.0,0,6,2010,190000
535152010,70.0,8267,Corner,NAmes,5,5,1958,HdBoard,NONE,1,CBlock,3,1,1604.0,1604.0,2,0,1604,2,0,4,2,0,0,576.0,42,3,2010,135000
535152050,70.0,8197,Inside,NAmes,7,5,2003,VinylSd,BrkFace,2,PConc,4,1,292.0,1480.0,4,0,1480,2,0,3,3,0,0,620.0,252,2,2010,214000
535152130,,8050,Inside,NAmes,5,5,1959,MetalSd,BrkFace,1,CBlock,3,1,125.0,1143.0,2,0,1143,1,0,3,2,0,0,308.0,0,5,2010,136000
535152150,70.0,10552,Inside,NAmes,5,5,1959,BrkFace,NONE,1,CBlock,3,1,380.0,1398.0,3,0,1700,1,1,4,3,1,4,447.0,0,4,2010,165500
535152250,70.0,8400,Inside,NAmes,5,6,1957,MetalSd,NONE,1,CBlock,3,1,392.0,1314.0,2,0,1314,1,0,3,2,0,0,294.0,250,6,2010,145000
535153070,73.0,8760,Inside,NAmes,6,6,1959,MetalSd,BrkFace,1,CBlock,3,1,1194.0,1194.0,2,0,1194,1,0,3,2,0,0,312.0,0,4,2010,148000
535154050,,12160,Inside,NAmes,5,5,1959,Plywood,BrkFace,1,CBlock,3,1,188.0,1188.0,1,0,1188,1,0,3,2,0,0,531.0,0,5,2010,142000
535175070,73.0,9300,Inside,NAmes,5,5,1960,MetalSd,BrkFace,1,CBlock,3,1,571.0,1268.0,2,0,1264,1,0,3,2,2,4,461.0,0,4,2010,167500
535175180,87.0,10725,Inside,NAmes,5,5,1959,MetalSd,BrkFace,1,CBlock,3,1,270.0,1206.0,1,0,1206,1,0,3,2,0,0,312.0,0,5,2010,108538
535179020,80.0,10032,Inside,NAmes,6,5,1959,Wd Sdng,Stone,1,CBlock,3,1,510.0,1244.0,4,0,1580,1,1,3,2,2,4,440.0,0,6,2010,159500
535180130,60.0,8382,Inside,NAmes,4,5,1956,MetalSd,NONE,1,CBlock,3,1,832.0,832.0,2,505,1337,1,0,3,2,0,0,263.0,0,2,2010,108000
535302080,60.0,10950,Inside,NAmes,5,7,1952,WdShing,NONE,1,CBlock,3,1,525.0,864.0,2,0,1064,1,0,2,1,0,0,318.0,0,5,2010,135000
